lcd_id,lcd_version,synopsis_changes_field_id,last_updated
39122,3,2,2021-09-22 16:59:29.253000000
39122,3,4,2021-09-22 16:59:29.253000000
40016,43,2,2024-10-17 00:00:00
40025,8,2,2024-10-17 00:00:00
40031,3,1,2025-01-31 15:46:27.300000000
40031,3,2,2025-01-31 15:46:27.310000000
40031,3,3,2025-01-31 15:46:27.317000000
40031,3,4,2025-01-31 15:46:27.327000000
40173,4,2,2025-05-06 21:56:49.050000000
40174,4,2,2025-05-06 21:58:06.313000000
40180,6,2,2025-05-05 11:33:15.003000000
40180,6,4,2025-05-05 11:33:15.007000000
40181,8,2,2025-05-07 22:47:09.110000000
40181,8,4,2025-05-07 22:47:09.113000000
40194,3,2,2025-05-19 19:49:47.037000000
40195,3,2,2025-05-20 15:03:31.780000000
40208,6,1,2025-07-17 15:15:53.960000000
40208,6,2,2025-07-17 15:15:53.963000000
40268,6,11,2025-09-18 15:48:43.007000000
40279,6,11,2025-09-18 18:59:41.617000000
